         19x16                    (19x16.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       96.53      0.8942      0.8098      0.0227      0.0250       1.078      11.323       3.391     803.769       1.279      15.083       1.913        0.47     191216.    0.1088  
      100.39      0.9300      0.7761      0.0170      0.0204       0.876       9.205       2.540     653.403       1.040      11.299       1.763        0.47     192156.    0.0868  
      104.26      0.9657      0.7092      0.0113      0.0154       0.663       6.961       1.691     494.168       0.786       7.520       1.552        0.47     193125.    0.0623  
      108.12      1.0015      0.5568      0.0057      0.0102       0.438       4.606       0.847     326.989       0.520       3.767       1.175        0.47     194122.    0.0334  
      111.98      1.0373      0.0059      0.0000      0.0047       0.202       2.124       0.004     150.775       0.240       0.018       0.012        0.48     195108.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       7000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0962      0.0372       2.545      22.911      19.582    1897.443       2.588      87.101       4.681        0.53     207850.    0.6397  
        4.51      0.0358      0.0895      0.0960      0.0384       2.626      23.648      19.545    1958.455       2.672      86.938       4.527        0.53     208029.    0.6180  
        9.02      0.0716      0.1728      0.0958      0.0397       2.716      24.451      19.502    2025.013       2.762      86.746       4.368        0.53     208234.    0.5957  
       13.53      0.1075      0.2496      0.0956      0.0411       2.812      25.319      19.450    2096.883       2.861      86.512       4.207        0.53     208468.    0.5730  
       18.05      0.1433      0.3200      0.0953      0.0426       2.915      26.245      19.384    2173.605       2.965      86.220       4.045        0.53     208733.    0.5500  
       22.56      0.1791      0.3840      0.0948      0.0442       3.023      27.220      19.300    2254.353       3.075      85.845       3.883        0.53     209031.    0.5268  
       27.07      0.2149      0.4418      0.0943      0.0459       3.135      28.229      19.190    2337.840       3.189      85.357       3.723        0.53     209364.    0.5037  
       31.58      0.2507      0.4937      0.0936      0.0475       3.248      29.247      19.046    2422.223       3.304      84.716       3.566        0.53     209733.    0.4807  
       36.09      0.2866      0.5402      0.0927      0.0492       3.359      30.247      18.857    2505.027       3.417      83.877       3.414        0.53     210140.    0.4579  
       40.60      0.3224      0.5817      0.0915      0.0507       3.464      31.190      18.611    2583.068       3.524      82.781       3.268        0.53     210586.    0.4354  
       45.11      0.3582      0.6187      0.0899      0.0520       3.557      32.028      18.293    2652.464       3.618      81.369       3.128        0.53     211072.    0.4132  
       49.62      0.3940      0.6517      0.0879      0.0532       3.633      32.708      17.890    2708.806       3.695      79.576       2.996        0.53     211600.    0.3913  
       54.14      0.4298      0.6813      0.0855      0.0539       3.685      33.177      17.391    2747.669       3.748      77.354       2.871        0.53     212169.    0.3697  
       58.65      0.4656      0.7080      0.0825      0.0543       3.709      33.392      16.790    2765.461       3.773      74.681       2.754        0.53     212779.    0.3485  
       63.16      0.5015      0.7321      0.0791      0.0542       3.701      33.326      16.090    2760.024       3.765      71.568       2.644        0.53     213429.    0.3275  
       67.67      0.5373      0.7539      0.0752      0.0536       3.662      32.971      15.300    2730.638       3.725      68.055       2.541        0.54     214121.    0.3070  
       72.18      0.5731      0.7736      0.0709      0.0525       3.591      32.331      14.432    2677.599       3.653      64.192       2.445        0.54     214851.    0.2868  
       76.69      0.6089      0.7911      0.0663      0.0510       3.489      31.415      13.497    2601.730       3.549      60.033       2.353        0.54     215621.    0.2670  
       81.20      0.6447      0.8065      0.0615      0.0491       3.358      30.235      12.507    2504.021       3.416      55.629       2.265        0.54     216429.    0.2474  
       85.71      0.6806      0.8196      0.0564      0.0468       3.199      28.803      11.471    2385.434       3.254      51.022       2.181        0.54     217275.    0.2281  
       90.23      0.7164      0.8302      0.0511      0.0441       3.013      27.129      10.398    2246.810       3.065      46.249       2.099        0.54     218158.    0.2090  
       94.74      0.7522      0.8381      0.0457      0.0410       2.801      25.222       9.294    2088.873       2.850      41.339       2.018        0.54     219079.    0.1900  
       99.25      0.7880      0.8426      0.0401      0.0375       2.564      23.090       8.165    1912.253       2.609      36.318       1.937        0.54     220036.    0.1709  
      103.76      0.8238      0.8428      0.0345      0.0337       2.303      20.739       7.016    1717.546       2.343      31.209       1.853        0.55     221029.    0.1516  
      108.27      0.8597      0.8370      0.0288      0.0295       2.019      18.177       5.853    1505.389       2.054      26.032       1.763        0.55     222058.    0.1317  
      112.78      0.8955      0.8219      0.0230      0.0250       1.712      15.414       4.679    1276.529       1.741      20.810       1.662        0.55     223123.    0.1110  
      117.29      0.9313      0.7909      0.0172      0.0202       1.384      12.460       3.500    1031.927       1.408      15.566       1.538        0.55     224222.    0.0889  
      121.80      0.9671      0.7276      0.0114      0.0152       1.036       9.332       2.322     772.824       1.054      10.326       1.363        0.55     225356.    0.0641  
      126.32      1.0029      0.5774      0.0057      0.0098       0.672       6.046       1.151     500.750       0.683       5.121       1.043        0.55     226522.    0.0346  
      130.83      1.0387     -0.0294     -0.0001      0.0042       0.285       2.565      -0.024     212.467       0.290      -0.107      -0.051        0.56     227657.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       8000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0965      0.0374       3.817      30.073      25.650    2846.417       3.398     114.090       4.087        0.60     237536.    0.6393  
        5.16      0.0358      0.0895      0.0963      0.0386       3.939      31.031      25.609    2937.056       3.506     113.910       3.955        0.60     237740.    0.6181  
       10.32      0.0717      0.1728      0.0962      0.0399       4.072      32.079      25.562    3036.260       3.624     113.699       3.819        0.60     237975.    0.5962  
       15.48      0.1075      0.2497      0.0960      0.0413       4.216      33.215      25.505    3143.807       3.753     113.445       3.680        0.60     238242.    0.5739  
       20.64      0.1434      0.3202      0.0957      0.0428       4.371      34.434      25.433    3259.152       3.890     113.126       3.539        0.60     238545.    0.5512  
       25.80      0.1792      0.3844      0.0953      0.0444       4.534      35.724      25.340    3381.220       4.036     112.712       3.399        0.60     238885.    0.5284  
       30.96      0.2151      0.4425      0.0949      0.0461       4.705      37.066      25.217    3508.249       4.188     112.165       3.260        0.60     239265.    0.5056  
       36.12      0.2509      0.4946      0.0943      0.0478       4.878      38.432      25.052    3637.599       4.342     111.433       3.124        0.60     239687.    0.4829  
       41.28      0.2868      0.5413      0.0934      0.0495       5.050      39.785      24.832    3765.604       4.495     110.453       2.991        0.61     240152.    0.4603  
       46.44      0.3226      0.5829      0.0923      0.0511       5.213      41.072      24.538    3887.422       4.640     109.147       2.863        0.61     240662.    0.4380  
       51.60      0.3585      0.6199      0.0909      0.0525       5.360      42.230      24.152    3997.036       4.771     107.428       2.741        0.61     241218.    0.4160  
       56.76      0.3943      0.6531      0.0890      0.0537       5.481      43.186      23.652    4087.490       4.879     105.206       2.625        0.61     241822.    0.3942  
       61.92      0.4302      0.6827      0.0866      0.0546       5.568      43.864      23.023    4151.699       4.956     102.407       2.515        0.61     242472.    0.3727  
       67.08      0.4660      0.7095      0.0837      0.0550       5.610      44.203      22.256    4183.742       4.994      98.995       2.413        0.61     243171.    0.3515  
       72.24      0.5019      0.7338      0.0803      0.0549       5.605      44.162      21.353    4179.923       4.989      94.979       2.317        0.61     243916.    0.3307  
       77.40      0.5377      0.7558      0.0765      0.0544       5.550      43.729      20.325    4138.879       4.940      90.407       2.227        0.61     244708.    0.3101  
       82.56      0.5735      0.7757      0.0722      0.0534       5.446      42.905      19.188    4060.946       4.847      85.350       2.143        0.61     245545.    0.2899  
       87.72      0.6094      0.7935      0.0676      0.0519       5.294      41.705      17.958    3947.388       4.712      79.879       2.063        0.61     246427.    0.2701  
       92.87      0.6452      0.8093      0.0626      0.0499       5.096      40.146      16.651    3799.805       4.536      74.065       1.988        0.62     247353.    0.2505  
       98.03      0.6811      0.8229      0.0575      0.0476       4.854      38.244      15.281    3619.758       4.321      67.968       1.915        0.62     248322.    0.2311  
      103.19      0.7169      0.8342      0.0521      0.0448       4.571      36.013      13.857    3408.632       4.069      61.638       1.844        0.62     249334.    0.2120  
      108.35      0.7528      0.8428      0.0466      0.0416       4.248      33.467      12.391    3167.604       3.781      55.117       1.774        0.62     250388.    0.1929  
      113.51      0.7886      0.8483      0.0410      0.0381       3.886      30.615      10.890    2897.694       3.459      48.440       1.705        0.62     251484.    0.1737  
      118.67      0.8245      0.8497      0.0352      0.0342       3.486      27.468       9.361    2599.844       3.103      41.639       1.633        0.62     252622.    0.1543  
      123.83      0.8603      0.8454      0.0294      0.0299       3.051      24.037       7.811    2275.046       2.716      34.742       1.557        0.63     253801.    0.1344  
      128.99      0.8962      0.8324      0.0235      0.0253       2.581      20.332       6.245    1924.453       2.297      27.779       1.472        0.63     255020.    0.1136  
      134.15      0.9320      0.8042      0.0176      0.0204       2.078      16.371       4.672    1549.539       1.850      20.780       1.367        0.63     256278.    0.0913  
      139.31      0.9679      0.7449      0.0117      0.0151       1.545      12.174       3.098    1152.221       1.375      13.782       1.220        0.63     257576.    0.0663  
      144.47      1.0037      0.5999      0.0058      0.0097       0.985       7.764       1.535     734.872       0.877       6.826       0.947        0.63     258911.    0.0362  
      149.63      1.0395     -0.0432     -0.0002      0.0038       0.390       3.073      -0.042     290.901       0.347      -0.188      -0.066        0.64     260193.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       9000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0968      0.0381       5.539      38.791      32.557    4130.483       4.383     144.814       3.575        0.68     267219.    0.6300  
        5.81      0.0359      0.0882      0.0967      0.0393       5.709      39.981      32.515    4257.195       4.517     144.626       3.464        0.68     267449.    0.6100  
       11.62      0.0717      0.1706      0.0965      0.0406       5.896      41.287      32.467    4396.289       4.665     144.412       3.350        0.68     267713.    0.5894  
       17.43      0.1076      0.2470      0.0963      0.0420       6.098      42.708      32.409    4547.609       4.825     144.157       3.232        0.68     268013.    0.5683  
       23.24      0.1435      0.3172      0.0961      0.0435       6.317      44.239      32.338    4710.581       4.998     143.838       3.114        0.68     268353.    0.5468  
       29.05      0.1794      0.3813      0.0958      0.0451       6.549      45.867      32.244    4883.937       5.182     143.421       2.994        0.68     268736.    0.5251  
       34.85      0.2152      0.4394      0.0955      0.0468       6.793      47.571      32.118    5065.438       5.375     142.859       2.876        0.68     269163.    0.5033  
       40.66      0.2511      0.4918      0.0950      0.0485       7.043      49.320      31.945    5251.615       5.572     142.090       2.759        0.68     269637.    0.4816  
       46.47      0.2870      0.5388      0.0943      0.0502       7.292      51.065      31.707    5437.435       5.769     141.031       2.645        0.68     270160.    0.4599  
       52.28      0.3229      0.5809      0.0933      0.0518       7.531      52.743      31.380    5616.069       5.959     139.579       2.534        0.68     270734.    0.4384  
       58.09      0.3587      0.6184      0.0920      0.0534       7.750      54.271      30.938    5778.805       6.132     137.614       2.428        0.68     271359.    0.4171  
       63.90      0.3946      0.6520      0.0902      0.0546       7.933      55.553      30.353    5915.357       6.276     135.009       2.327        0.68     272039.    0.3960  
       69.71      0.4305      0.6821      0.0880      0.0555       8.066      56.489      29.598    6014.979       6.382     131.654       2.232        0.68     272772.    0.3750  
       75.52      0.4664      0.7092      0.0852      0.0560       8.138      56.991      28.661    6068.386       6.439     127.485       2.142        0.69     273558.    0.3542  
       81.33      0.5022      0.7338      0.0819      0.0560       8.139      57.001      27.542    6069.476       6.440     122.505       2.058        0.69     274399.    0.3336  
       87.14      0.5381      0.7561      0.0780      0.0555       8.067      56.495      26.252    6015.645       6.383     116.770       1.979        0.69     275291.    0.3132  
       92.95      0.5740      0.7763      0.0738      0.0545       7.921      55.475      24.813    5906.982       6.268     110.367       1.905        0.69     276236.    0.2931  
       98.76      0.6099      0.7945      0.0691      0.0530       7.704      53.954      23.246    5745.104       6.096     103.397       1.835        0.69     277231.    0.2733  
      104.56      0.6457      0.8107      0.0641      0.0511       7.419      51.956      21.572    5532.262       5.870      95.953       1.769        0.69     278275.    0.2537  
      110.37      0.6816      0.8249      0.0589      0.0487       7.068      49.501      19.811    5270.860       5.593      88.118       1.705        0.69     279369.    0.2343  
      116.18      0.7175      0.8368      0.0534      0.0458       6.656      46.610      17.977    4963.099       5.266      79.963       1.643        0.70     280510.    0.2151  
      121.99      0.7534      0.8462      0.0478      0.0426       6.183      43.302      16.085    4610.843       4.892      71.545       1.582        0.70     281699.    0.1960  
      127.80      0.7892      0.8526      0.0420      0.0389       5.653      39.591      14.144    4215.687       4.473      62.912       1.522        0.70     282936.    0.1767  
      133.61      0.8251      0.8551      0.0362      0.0349       5.068      35.491      12.164    3779.083       4.010      54.105       1.460        0.70     284218.    0.1572  
      139.42      0.8610      0.8523      0.0302      0.0305       4.429      31.015      10.153    3302.524       3.504      45.163       1.394        0.70     285547.    0.1372  
      145.23      0.8968      0.8413      0.0241      0.0257       3.738      26.181       8.121    2787.719       2.958      36.124       1.321        0.71     286921.    0.1163  
      151.04      0.9327      0.8159      0.0181      0.0207       3.000      21.007       6.077    2236.827       2.373      27.029       1.232        0.71     288340.    0.0938  
      156.85      0.9686      0.7606      0.0120      0.0153       2.216      15.521       4.031    1652.689       1.754      17.928       1.106        0.71     289803.    0.0686  
      162.66      1.0045      0.6210      0.0059      0.0096       1.393       9.757       1.995    1038.885       1.102       8.872       0.871        0.71     291306.    0.0380  
      168.46      1.0403     -0.0604     -0.0002      0.0035       0.514       3.596      -0.069     382.938       0.406      -0.307      -0.082        0.71     292726.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      10000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0970      0.0405       8.066      50.840      40.295    6014.946       5.744     179.230       3.038        0.75     296900.    0.5957  
        6.46      0.0359      0.0836      0.0969      0.0416       8.293      52.268      40.251    6183.908       5.905     179.038       2.952        0.75     297155.    0.5784  
       12.92      0.0718      0.1621      0.0968      0.0429       8.542      53.840      40.204    6369.853       6.083     178.828       2.863        0.75     297448.    0.5606  
       19.38      0.1077      0.2353      0.0967      0.0442       8.814      55.554      40.150    6572.691       6.276     178.587       2.771        0.75     297781.    0.5422  
       25.83      0.1436      0.3032      0.0965      0.0457       9.108      57.406      40.083    6791.817       6.486     178.291       2.677        0.75     298158.    0.5234  
       32.29      0.1795      0.3656      0.0963      0.0473       9.422      59.383      39.997    7025.725       6.709     177.906       2.582        0.75     298583.    0.5043  
       38.75      0.2154      0.4226      0.0960      0.0489       9.751      61.461      39.879    7271.610       6.944     177.381       2.487        0.76     299056.    0.4851  
       45.21      0.2513      0.4744      0.0956      0.0506      10.091      63.602      39.713    7524.909       7.186     176.644       2.394        0.76     299582.    0.4659  
       51.67      0.2872      0.5214      0.0951      0.0524      10.432      65.748      39.478    7778.786       7.428     175.597       2.302        0.76     300163.    0.4467  
       58.13      0.3231      0.5639      0.0943      0.0540      10.760      67.818      39.143    8023.629       7.662     174.110       2.213        0.76     300799.    0.4275  
       64.59      0.3590      0.6023      0.0931      0.0555      11.059      69.705      38.675    8246.870       7.875     172.024       2.127        0.76     301494.    0.4085  
       71.04      0.3949      0.6371      0.0916      0.0568      11.309      71.281      38.031    8433.431       8.053     169.164       2.045        0.76     302248.    0.3896  
       77.50      0.4308      0.6687      0.0895      0.0577      11.489      72.414      37.177    8567.451       8.181     165.363       1.968        0.76     303063.    0.3706  
       83.96      0.4666      0.6977      0.0869      0.0581      11.580      72.987      36.087    8635.262       8.246     160.515       1.895        0.76     303938.    0.3516  
       90.42      0.5025      0.7243      0.0837      0.0581      11.570      72.926      34.756    8628.062       8.239     154.594       1.827        0.76     304873.    0.3326  
       96.88      0.5384      0.7486      0.0799      0.0575      11.456      72.204      33.196    8542.542       8.158     147.657       1.763        0.76     305867.    0.3136  
      103.34      0.5743      0.7708      0.0757      0.0564      11.237      70.827      31.432    8379.628       8.002     139.810       1.701        0.77     306919.    0.2946  
      109.80      0.6102      0.7908      0.0710      0.0548      10.919      68.822      29.492    8142.446       7.775     131.182       1.643        0.77     308027.    0.2755  
      116.25      0.6461      0.8086      0.0660      0.0527      10.507      66.221      27.405    7834.759       7.482     121.899       1.587        0.77     309191.    0.2565  
      122.71      0.6820      0.8242      0.0607      0.0502      10.004      63.054      25.197    7460.019       7.124     112.076       1.532        0.77     310409.    0.2375  
      129.17      0.7179      0.8373      0.0551      0.0473       9.415      59.343      22.888    7020.984       6.705     101.808       1.479        0.77     311681.    0.2185  
      135.63      0.7538      0.8479      0.0494      0.0439       8.743      55.107      20.498    6519.814       6.226      91.174       1.426        0.78     313006.    0.1994  
      142.09      0.7897      0.8554      0.0434      0.0401       7.990      50.360      18.040    5958.207       5.690      80.243       1.373        0.78     314383.    0.1801  
      148.55      0.8256      0.8593      0.0374      0.0359       7.158      45.115      15.528    5337.694       5.097      69.068       1.319        0.78     315812.    0.1606  
      155.01      0.8615      0.8580      0.0312      0.0314       6.249      39.388      12.973    4660.091       4.450      57.702       1.263        0.78     317291.    0.1404  
      161.46      0.8974      0.8488      0.0250      0.0264       5.268      33.202      10.385    3928.169       3.751      46.194       1.199        0.78     318821.    0.1193  
      167.92      0.9333      0.8255      0.0187      0.0212       4.219      26.590       7.778    3145.954       3.004      34.596       1.121        0.79     320401.    0.0966  
      174.38      0.9692      0.7719      0.0124      0.0156       3.111      19.606       5.164    2319.568       2.215      22.968       1.010        0.79     322028.    0.0709  
      180.84      1.0051      0.6309      0.0062      0.0098       1.954      12.318       2.557    1457.343       1.392      11.373       0.796        0.79     323702.    0.0393  
      187.30      1.0410     -0.0679     -0.0002      0.0036       0.725       4.568      -0.099     540.497       0.516      -0.438      -0.083        0.79     325264.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      11000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0972      0.0460      12.196      69.880      48.825    9094.449       7.895     217.171       2.435        0.83     326577.    0.5255  
        7.11      0.0359      0.0741      0.0971      0.0471      12.488      71.554      48.775    9312.218       8.084     216.953       2.376        0.83     326858.    0.5124  
       14.22      0.0718      0.1442      0.0970      0.0483      12.810      73.402      48.725    9552.767       8.293     216.729       2.313        0.83     327179.    0.4987  
       21.33      0.1078      0.2103      0.0969      0.0496      13.164      75.426      48.671    9816.134       8.522     216.488       2.249        0.83     327546.    0.4845  
       28.44      0.1437      0.2721      0.0967      0.0511      13.547      77.620      48.609   10101.737       8.769     216.211       2.183        0.83     327960.    0.4699  
       35.55      0.1796      0.3296      0.0966      0.0526      13.957      79.973      48.531   10407.898       9.035     215.865       2.115        0.83     328426.    0.4550  
       42.66      0.2155      0.3828      0.0964      0.0543      14.391      82.456      48.426   10731.005       9.316     215.400       2.047        0.83     328947.    0.4399  
       49.77      0.2515      0.4318      0.0961      0.0560      14.839      85.027      48.278   11065.637       9.606     214.743       1.979        0.83     329525.    0.4246  
       56.88      0.2874      0.4767      0.0956      0.0577      15.292      87.618      48.064   11402.875       9.899     213.789       1.912        0.83     330162.    0.4093  
       63.99      0.3233      0.5180      0.0950      0.0593      15.729      90.126      47.749   11729.325      10.182     212.389       1.846        0.83     330861.    0.3940  
       71.10      0.3592      0.5559      0.0941      0.0608      16.128      92.409      47.291   12026.420      10.440     210.350       1.784        0.83     331624.    0.3788  
       78.21      0.3952      0.5911      0.0928      0.0620      16.455      94.287      46.636   12270.834      10.653     207.437       1.724        0.84     332453.    0.3635  
       85.32      0.4311      0.6238      0.0910      0.0629      16.678      95.564      45.732   12437.006      10.797     203.414       1.668        0.84     333348.    0.3483  
       92.43      0.4670      0.6547      0.0886      0.0632      16.766      96.065      44.536   12502.153      10.853     198.095       1.616        0.84     334310.    0.3330  
       99.54      0.5029      0.6840      0.0856      0.0630      16.698      95.677      43.031   12451.665      10.810     191.400       1.567        0.84     335340.    0.3175  
      106.65      0.5389      0.7118      0.0820      0.0621      16.470      94.370      41.223   12281.567      10.662     183.360       1.522        0.84     336436.    0.3019  
      113.76      0.5748      0.7380      0.0779      0.0607      16.087      92.175      39.138   11995.889      10.414     174.088       1.480        0.84     337596.    0.2859  
      120.87      0.6107      0.7625      0.0733      0.0587      15.560      89.158      36.812   11603.319      10.073     163.739       1.439        0.84     338819.    0.2696  
      127.98      0.6466      0.7850      0.0682      0.0562      14.904      85.395      34.280   11113.620       9.648     152.478       1.399        0.85     340104.    0.2530  
      135.09      0.6826      0.8051      0.0628      0.0533      14.128      80.952      31.578   10535.284       9.146     140.457       1.359        0.85     341449.    0.2359  
      142.20      0.7185      0.8228      0.0572      0.0499      13.243      75.878      28.734    9875.010       8.573     127.808       1.320        0.85     342853.    0.2185  
      149.31      0.7544      0.8375      0.0513      0.0462      12.253      70.208      25.774    9137.063       7.932     114.643       1.279        0.85     344316.    0.2006  
      156.42      0.7903      0.8489      0.0452      0.0421      11.163      63.960      22.719    8323.978       7.226     101.052       1.238        0.85     345835.    0.1822  
      163.53      0.8263      0.8563      0.0390      0.0376       9.973      57.146      19.585    7437.161       6.456      87.113       1.194        0.86     347412.    0.1632  
      170.64      0.8622      0.8584      0.0326      0.0328       8.687      49.776      16.389    6477.951       5.624      72.897       1.148        0.86     349044.    0.1435  
      177.75      0.8981      0.8484      0.0261      0.0277       7.340      42.060      13.139    5473.767       4.752      58.441       1.089        0.86     350731.    0.1219  
      184.86      0.9340      0.8189      0.0196      0.0224       5.930      33.980       9.852    4422.295       3.839      43.823       1.010        0.86     352473.    0.0980  
      191.97      0.9700      0.7502      0.0130      0.0168       4.468      25.599       6.547    3331.542       2.892      29.123       0.891        0.87     354267.    0.0704  
      199.08      1.0059      0.5784      0.0065      0.0112       2.976      17.052       3.242    2219.185       1.927      14.422       0.663        0.87     356112.    0.0369  
      206.19      1.0418     -0.0442     -0.0002      0.0054       1.430       8.195      -0.115    1066.515       0.926      -0.511      -0.049        0.87     357888.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      12000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0959      0.0527      18.131      95.231      57.358   13520.337      10.759     255.129       1.924        0.90     356318.    0.4500  
        7.78      0.0360      0.0643      0.0958      0.0537      18.476      97.042      57.289   13777.498      10.964     254.822       1.886        0.90     356624.    0.4409  
       15.55      0.0720      0.1258      0.0957      0.0548      18.864      99.081      57.222   14066.918      11.194     254.523       1.845        0.90     356974.    0.4310  
       23.33      0.1080      0.1842      0.0956      0.0560      19.297     101.354      57.155   14389.645      11.451     254.226       1.802        0.90     357373.    0.4206  
       31.10      0.1440      0.2394      0.0955      0.0574      19.775     103.864      57.085   14746.024      11.735     253.914       1.756        0.91     357825.    0.4097  
       38.88      0.1801      0.2912      0.0953      0.0589      20.297     106.605      57.006   15135.121      12.044     253.562       1.708        0.91     358332.    0.3983  
       46.65      0.2161      0.3394      0.0952      0.0606      20.858     109.555      56.908   15553.964      12.377     253.127       1.659        0.91     358898.    0.3866  
       54.43      0.2521      0.3841      0.0949      0.0623      21.452     112.673      56.776   15996.599      12.730     252.540       1.610        0.91     359526.    0.3746  
       62.20      0.2881      0.4254      0.0946      0.0641      22.064     115.886      56.587   16452.793      13.093     251.699       1.560        0.91     360218.    0.3624  
       69.98      0.3241      0.4634      0.0942      0.0658      22.672     119.081      56.307   16906.400      13.454     250.453       1.511        0.91     360978.    0.3501  
       77.75      0.3601      0.4985      0.0935      0.0675      23.245     122.091      55.889   17333.713      13.794     248.593       1.462        0.91     361807.    0.3376  
       85.53      0.3961      0.5310      0.0924      0.0689      23.740     124.692      55.273   17702.971      14.088     245.853       1.416        0.91     362707.    0.3251  
       93.30      0.4321      0.5614      0.0909      0.0700      24.104     126.605      54.391   17974.709      14.304     241.931       1.372        0.91     363681.    0.3126  
      101.08      0.4682      0.5902      0.0889      0.0705      24.286     127.558      53.184   18109.969      14.411     236.564       1.332        0.91     364728.    0.3000  
      108.85      0.5042      0.6179      0.0863      0.0704      24.246     127.350      51.619   18080.395      14.388     229.600       1.295        0.92     365850.    0.2873  
      116.63      0.5402      0.6449      0.0831      0.0696      23.960     125.847      49.684   17867.027      14.218     220.994       1.261        0.92     367045.    0.2746  
      124.40      0.5762      0.6713      0.0792      0.0680      23.421     123.018      47.393   17465.326      13.898     210.806       1.231        0.92     368313.    0.2617  
      132.18      0.6122      0.6971      0.0749      0.0658      22.641     118.920      44.777   16883.531      13.435     199.168       1.203        0.92     369651.    0.2486  
      139.95      0.6482      0.7221      0.0700      0.0629      21.642     113.671      41.873   16138.306      12.842     186.250       1.177        0.92     371058.    0.2352  
      147.73      0.6842      0.7459      0.0647      0.0594      20.449     107.407      38.721   15249.085      12.135     172.230       1.152        0.93     372533.    0.2213  
      155.50      0.7202      0.7681      0.0591      0.0554      19.087     100.252      35.357   14233.172      11.326     157.268       1.127        0.93     374073.    0.2069  
      163.28      0.7562      0.7881      0.0532      0.0510      17.576      92.314      31.816   13106.170      10.430     141.516       1.101        0.93     375678.    0.1918  
      171.06      0.7923      0.8053      0.0470      0.0463      15.930      83.669      28.125   11878.792       9.453     125.101       1.074        0.93     377345.    0.1759  
